station,name,region,country,latitude,longitude,elevation,year,month,reading
43333,PORT BLAIR,,INDIA,11.7,92.7,79,1882,november,250.2
43333,PORT BLAIR,,INDIA,11.7,92.7,79,1882,december,30.5
48097,RANGOON,,MYANMAR,16.8,96.2,23,1882,november,27.7
48097,RANGOON,,MYANMAR,16.8,96.2,23,1882,december,2.5
48103,MOULMEIN,,MYANMAR,16.5,97.6,22,1882,november,45.2
48103,MOULMEIN,,MYANMAR,16.5,97.6,22,1882,december,0.0
48110,MERGUI,,MYANMAR,12.4,98.6,37,1882,november,149.0
48110,MERGUI,,MYANMAR,12.4,98.6,37,1882,december,0.0
48455,BANGKOK,,THAILAND,13.7,100.5,12,1882,november,38.1
48455,BANGKOK,,THAILAND,13.7,100.5,12,1882,december,
48648.5,KUALA LUMPUR (TANGLIN HOSP),,MALAYSIA,3.15,101.68,39,1882,november,298.0
48648.5,KUALA LUMPUR (TANGLIN HOSP),,MALAYSIA,3.15,101.68,39,1882,december,232.0
48692.1,MACRITCHIE RES.,,SINGAPORE,1.4,103.8,8,1882,november,183.0
48692.1,MACRITCHIE RES.,,SINGAPORE,1.4,103.8,8,1882,december,179.0
48694,SINGAPORE,,SINGAPORE,1.3,103.9,18,1882,november,157.0
48694,SINGAPORE,,SINGAPORE,1.3,103.9,18,1882,december,140.7
94132,KATHERINE(COUNCIL DEPOT)WAS 01,,AUSTRALIA,-14.48,132.27,103,1882,november,106.7
94132,KATHERINE(COUNCIL DEPOT)WAS 01,,AUSTRALIA,-14.48,132.27,103,1882,december,336.0
94132.2,PINE CREEK POST OFFICE  WAS 01,,AUSTRALIA,-13.82,131.83,189,1882,november,
94132.2,PINE CREEK POST OFFICE  WAS 01,,AUSTRALIA,-13.82,131.83,189,1882,december,360.9
96011,BLANG BINTANG BANDA,,INDONESIA,5.52,95.43,21,1882,november,170.0
96011,BLANG BINTANG BANDA,,INDONESIA,5.52,95.43,21,1882,december,311.0
96035,POLONIA-MEDAN,,INDONESIA,3.57,98.48,27,1882,november,273.0
96035,POLONIA-MEDAN,,INDONESIA,3.57,98.48,27,1882,december,234.0
96091,TANJUNGPINANG,,INDONESIA,0.9,104.5,18,1882,november,211.0
96091,TANJUNGPINANG,,INDONESIA,0.9,104.5,18,1882,december,115.0
96163.3,PAYAKUMBUH,,INDONESIA,-0.22,100.62,512,1882,november,171.0
96163.3,PAYAKUMBUH,,INDONESIA,-0.22,100.62,512,1882,december,193.0
96413,KUCHING MET.STATION,,MALAYSIA,1.5,110.3,26,1882,november,479.0
96413,KUCHING MET.STATION,,MALAYSIA,1.5,110.3,26,1882,december,564.0
96491,SANDAKAN MET.,,MALAYSIA,5.8,118.1,14,1882,november,490.2
96491,SANDAKAN MET.,,MALAYSIA,5.8,118.1,14,1882,december,350.5
96533.2,SINGKAWANG,,INDONESIA,0.92,109.0,3,1882,november,245.0
96533.2,SINGKAWANG,,INDONESIA,0.92,109.0,3,1882,december,451.0
96581,PONTIANAK,,INDONESIA,-0.1,109.4,3,1882,november,506.0
96581,PONTIANAK,,INDONESIA,-0.1,109.4,3,1882,december,291.0
96597.1,BUNTOK,,INDONESIA,-1.68,114.8,25,1882,november,451.0
96597.1,BUNTOK,,INDONESIA,-1.68,114.8,25,1882,december,296.0
