,YR,MO,DY,HR,LAT,LON,IM,ATTC,TI,LI,DS,VS,NID,II,ID,C1,DI,D,WI,W,VI,VV,WW,W1,SLP,A,PPP,IT,AT,WBTI,WBT,DPTI,DPT,SI,SST,N,NH,CL,HI,H,CM,CH,WD,WP,WH,SD,SP,SH,BSI,B10,B1,DCK,SID,PT,DUPS,DUPC,TC,PB,WX,SX,C2,AQCS,ND,TRMS,NQCS,QCE,LZ,QCZ,UID,RN1,RN2,RN3,RSA,IRF,grid_group,climate_zone,target_zone,comments
14,1795,1,13.0,6.0,19.53,89.98,1,3,0.0,5,,,3.0,10,EUROPA 2,,,294.0,5.0,1.0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,258,99,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3PN9,3,0,0,2,1,"(89, 19)",1,1.0,"FAIR     ,SMOOTH,,,,,,,"
17,1795,1,14.0,6.0,19.35,89.68,1,3,0.0,5,,,3.0,10,EUROPA 2,,,249.0,5.0,,,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,258,99,248,148,5,0,,,,,,,,2.0,F111FF,12AAAA1AAAAAAA,,,,CZ3PNF,3,0,0,2,1,"(89, 19)",1,1.0,"CLOUDY,RAIN,SMALL RAIN,HAZY     ,SMOOTH,,,,,,,"
20,1795,1,15.0,6.0,18.3,88.75,1,3,0.0,5,,,3.0,10,EUROPA 2,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,258,88,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PNL,3,0,0,2,1,"(88, 18)",1,1.0,"FAIR,SQUALLY,RAIN,PLEASANT,,,,,,,,"
23,1795,1,16.0,6.0,19.47,89.5,1,3,0.0,5,,,3.0,10,EUROPA 2,,,227.0,5.0,1.0,,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,258,99,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3PNR,3,0,0,2,1,"(89, 19)",1,1.0,"CLOUDY,SULTRY,,,,,,,,"
26,1795,1,17.0,6.0,17.47,87.8,1,3,0.0,5,,,3.0,10,EUROPA 2,,,137.0,5.0,9.3,,,,,,,,,24.4,,,,,,,,,,,,,,,,,,,,,258,77,248,148,5,0,,,,,,,,2.0,F115FF,11AAAA1AAAAAAA,,,,CZ3PNX,3,0,0,2,1,"(87, 17)",1,1.0,"CLOUDY,SMALL RAIN,UNSETTLED,,,,,,,,"
28,1795,1,18.0,6.0,16.55,87.05,1,3,0.0,5,,,3.0,10,EUROPA 2,,,47.0,5.0,6.7,,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,258,67,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3PO3,3,0,0,2,1,"(87, 16)",1,1.0,"FAIR,CLOUDY,RAIN,UNSETTLED,,,,,,,,"
31,1795,1,19.0,6.0,15.0,85.5,1,3,0.0,5,,,3.0,10,EUROPA 2,,,,5.0,,,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,258,55,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PO8,3,0,0,2,1,"(85, 15)",1,1.0,"FAIR,,,,,,,,"
82,1795,2,4.0,6.0,8.2,90.43,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,,,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,295,80,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PRE,3,0,0,2,1,"(90, 8)",1,1.0,"CLOUDY,FAIR,CLEAR,SQUALLY,SEASONABLE,,,,,,,,"
86,1795,2,5.0,6.0,10.05,89.0,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,,,,,,,258,9,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PRK,3,0,0,2,1,"(89, 10)",1,1.0,"FAIR,CLOUDY,LIGHTNING,HAZY,,,,,,,,"
90,1795,2,6.0,6.0,11.5,87.43,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,,,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,258,17,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PRQ,3,0,0,2,1,"(87, 11)",1,1.0,"FAIR,CLOUDY,HAZY,,,,,,,,"
94,1795,2,7.0,6.0,13.15,85.67,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,,,,,,,,,,,26.1,,,,,,,,,,,,,,,,,,,,,258,35,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PRW,3,0,0,2,1,"(85, 13)",1,1.0,"CLOUDY,FAIR,,,,,,,,"
171,1795,2,22.0,6.0,19.53,89.33,1,3,0.0,5,,,3.0,10,LD HWKBRY,,,,,,,,,,,,,,26.1,,,,,,,,,,,,,,,,,,,,,258,99,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PUT,3,0,0,2,1,"(89, 19)",1,1.0,"FAIR,SULTRY,PLEASANT,,,,,,,,"
177,1795,2,23.0,6.0,18.3,89.9,1,3,0.0,5,,,3.0,10,LD HWKBRY,,,238.0,5.0,6.7,,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,258,89,248,148,5,0,,,,,,,,2.0,F131FF,11AAAA1AAAAAAA,,,,CZ3PV0,3,0,0,2,1,"(89, 18)",1,1.0,"FAIR,OVERCAST,PLEASANT,,,,,,,,"
184,1795,2,24.0,6.0,17.73,89.68,1,3,0.0,5,,,3.0,10,LD HWKBRY,,,261.0,5.0,6.7,,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,258,79,248,148,5,0,,,,,,,,2.0,F151FF,11AAAA1AAAAAAA,,,,CZ3PV7,3,0,0,2,1,"(89, 17)",1,1.0,"FAIR,HOT,PLEASANT,VERY HOT     ,SMOOTH,,,,,,,"
190,1795,2,25.0,6.0,17.15,88.88,1,3,0.0,5,,,3.0,10,LD HWKBRY,,,,,,,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,258,78,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PVE,3,0,0,2,1,"(88, 17)",1,1.0,"FAIR,VERY FINE     ,SMOOTH,,,,,,,"
196,1795,2,26.0,6.0,16.12,87.98,1,3,0.0,5,,,3.0,10,LD HWKBRY,,,2.0,5.0,2.6,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,258,67,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3PVL,3,0,0,2,1,"(87, 16)",1,1.0,"FAIR,PLEASANT,,,,,,,,"
202,1795,2,27.0,6.0,15.23,86.73,1,3,0.0,5,,,3.0,10,LD HWKBRY,,,,,,,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,258,56,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PVS,3,0,0,2,1,"(86, 15)",1,1.0,"FAIR,PLEASANT     ,SMOOTH,,,,,,,"
208,1795,2,28.0,6.0,14.58,85.42,1,3,0.0,5,,,3.0,10,LD HWKBRY,,,58.0,5.0,2.6,,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,258,45,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3PVZ,3,0,0,2,1,"(85, 14)",1,1.0,"PLEASANT,,,,,,,,"
271,1795,3,10.0,6.0,19.27,88.72,1,3,0.0,5,,,3.0,10,ROCKHAM 1,,,238.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,98,248,148,5,0,,,,,,,,2.0,FF11FF,11AAAAAAAAAAAA,,,,CZ3PXV,3,0,0,2,1,"(88, 19)",1,1.0,"CLEAR,,,,,,,,"
