,YR,MO,DY,HR,LAT,LON,IM,ATTC,TI,LI,DS,VS,NID,II,ID,C1,DI,D,WI,W,VI,VV,WW,W1,SLP,A,PPP,IT,AT,WBTI,WBT,DPTI,DPT,SI,SST,N,NH,CL,HI,H,CM,CH,WD,WP,WH,SD,SP,SH,BSI,B10,B1,DCK,SID,PT,DUPS,DUPC,TC,PB,WX,SX,C2,AQCS,ND,TRMS,NQCS,QCE,LZ,QCZ,UID,RN1,RN2,RN3,RSA,IRF,grid_group,climate_zone,target_zone,comments
3,1795,1,3.0,7.0,-34.78,74.67,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,,,,,,,,,,,18.3,,,,,,,,,,,,,,,,,,,,,437,44,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PLS,3,0,0,2,1,"(74, -35)",3,3.2,"CLOUDY,SQUALLY,HAZY,FOGGY,RAIN,GLOOMY,,,,,,,,"
4,1795,1,4.0,7.0,-34.47,75.6,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,5.0,,,,,,,,,,22.2,,,,,,,,,,,,,,,,,,,,,437,45,248,148,5,0,,,,,,,,2.0,F111FF,12AAAA1AAAAAAA,,,,CZ3PLY,3,0,0,2,1,"(75, -35)",3,3.2,"FAIR,CLOUDY,CLEAR,HOT,SULTRY,,,,,,,,"
5,1795,1,5.0,7.0,-33.77,76.4,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,5.0,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,437,36,248,148,5,0,,,,,,,,2.0,F1FFFF,12AAAA1AAAAAAA,,,,CZ3PM4,3,0,0,2,1,"(76, -34)",3,3.2,"CLOUDY,FAIR,SERENE,,,,,,,,"
6,1795,1,6.0,7.0,-32.05,75.58,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,,,437,25,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PMA,3,0,0,2,1,"(75, -33)",3,3.2,"FAIR,CLOUDY,SERENE,,,,,,,,"
7,1795,1,7.0,7.0,-32.03,76.28,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,5.0,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,,,437,26,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PMG,3,0,0,2,1,"(76, -33)",3,3.2,"CLEAR,FAIR,SQUALLY,RAIN,,,,,,,,"
8,1795,1,8.0,7.0,-31.88,77.4,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,5.0,5.0,12.3,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,437,17,248,148,5,0,,,,,,,,2.0,F114FF,11AAAA1AAAAAAA,,,,CZ3PMM,3,0,0,2,1,"(77, -32)",3,3.2,"FAIR,CLOUDY,SERENE,,,,,,,,"
9,1795,1,9.0,7.0,-31.37,78.88,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,,,,,,,,,,,20.6,,,,,,,,,,,,,,,,,,,,,437,18,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PMR,3,0,0,2,1,"(78, -32)",3,3.2,"DRIZZLING RAIN,CLOUDY,SQUALLY,RAIN,HARD SQUALLS,,,,,,,,"
10,1795,1,10.0,7.0,-30.72,80.73,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,5.0,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,438,0,248,148,5,0,,,,,,,,2.0,F1FFFF,12AAAA1AAAAAAA,,,,CZ3PMW,3,0,0,2,1,"(80, -31)",3,3.2,"CLOUDY,SQUALLY,RAIN,SMALL RAIN,DRIZZLING RAIN,FAIR,GLOOMY,,,,,,,,"
11,1795,1,11.0,7.0,-29.93,81.02,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,5.0,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,,,402,91,248,148,5,0,,,,,,,,2.0,F1FFFF,12AAAA1AAAAAAA,,,,CZ3PN1,3,0,0,2,1,"(81, -30)",3,3.2,"CLOUDY,RAIN,UNSETTLED,SQUALLY,FAIR,GLOOMY,SMALL RAIN,,,,,,,,"
12,1795,1,12.0,6.0,-27.52,82.55,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,,,,,,,,,,,23.1,,,,,,,,,,,,,,,,,,,,,402,72,248,148,5,0,,,,,,,,2.0,F1FFFF,1AAAAA1AAAAAAA,,,,CZ3PN6,3,0,0,2,1,"(82, -28)",3,3.2,"CLOUDY,SQUALLY,HARD RAIN,SMALL RAIN,UNSETTLED,FAIR,CLEAR,,,,,,,,"
15,1795,1,13.0,6.0,-24.92,83.38,1,3,0.0,5,,,3.0,10,ROY ADM 1,,,,,,,,,,,,,,23.3,,,,,,,,,,,,,,,,,,,,,402,43,248,148,5,0,,,,,,,,2.0,F1FFFF,1AAAAA1AAAAAAA,,,,CZ3PNB,3,0,0,2,1,"(83, -25)",3,3.2,"CLOUDY,FAIR,SQUALLY     ,HEAVY SWELL,,,,,,,"
1261,1795,8,7.0,7.0,-33.58,74.35,1,3,0.0,5,,,3.0,10,HLSBRGH 2,,,,5.0,,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,437,34,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3RTX,3,0,0,2,1,"(74, -34)",3,3.2,"CLOUDY,SQUALLY,SMALL RAIN,HAZY     ,SWELL,,,,,,,"
1262,1795,8,7.0,8.0,-33.57,66.07,1,3,0.0,5,,,3.0,10,MINERVA 1,,,125.0,5.0,12.3,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,436,36,248,148,5,0,,,,,,,,2.0,F141FF,11AAAA1AAAAAAA,,,,CZ3RTY,3,0,0,2,1,"(66, -34)",3,3.2,"SQUALLY,CLOUDY,HAZY,,,,,,,,"
1263,1795,8,7.0,8.0,-33.65,66.97,1,3,0.0,5,,,3.0,10,FRANCIS 2,,,,,,,,,,1022.9,,,,12.8,,,,,,,,,,,,,,,,,,,,,436,36,248,148,5,0,,,,,,,,2.0,F1FF4F,17AAA11AAAAAAA,,,,CZ3RTZ,3,0,0,2,1,"(66, -34)",3,3.2,"FAIR,CLOUDY,HAZY,SQUALLY,RAIN,,,,,,,,"
1272,1795,8,8.0,7.0,-31.8,76.47,1,3,0.0,5,,,3.0,10,HLSBRGH 2,,,,,,,,,,,,,,13.9,,,,,,,,,,,,,,,,,,,,,437,16,248,148,5,0,,,,,,,,2.0,F1FFFF,1AAAAA1AAAAAAA,,,,CZ3RUL,3,0,0,2,1,"(76, -32)",3,3.2,"SMALL RAIN,CLOUDY     ,SWELL,,,,,,,"
1280,1795,8,9.0,7.0,-29.63,77.3,1,3,0.0,5,,,3.0,10,HLSBRGH 2,,,77.0,5.0,6.7,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,401,97,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3RV9,3,0,0,2,1,"(77, -30)",3,3.2,"CLOUDY,SQUALLY,SMALL RAIN,HAZY,PLEASANT     ,SWELL,,,,,,,"
1288,1795,8,10.0,7.0,-27.65,78.0,1,3,0.0,5,,,3.0,10,HLSBRGH 2,,,77.0,5.0,6.7,,,,,,,,,17.8,,,,,,,,,,,,,,,,,,,,,401,78,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3RVX,3,0,0,2,1,"(78, -28)",3,3.2,"FAIR,CLOUDY,PLEASANT     ,SWELL,,,,,,,"
1295,1795,8,11.0,7.0,-25.92,77.22,1,3,0.0,5,,,3.0,10,HLSBRGH 2,,,59.0,5.0,9.3,,,,,,,,,18.9,,,,,,,,,,,,,,,,,,,,,401,57,248,148,5,0,,,,,,,,2.0,F114FF,11AAAA1AAAAAAA,,,,CZ3RWM,3,0,0,2,1,"(77, -26)",3,3.2,"CLOUDY,FAIR     ,SMOOTH,,,,,,,"
1585,1795,9,17.0,7.0,-34.83,79.68,1,3,0.0,5,,,3.0,10,EARL OXFD,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,437,49,248,148,5,0,,,,,,,,2.0,F1FF6F,1AAAA91AAAAAAA,,,,CZ3SG3,3,0,0,2,1,"(79, -35)",3,3.2,"HAZY,,,,,,,,"
1586,1795,9,17.0,7.0,-34.85,77.95,1,3,0.0,5,,,3.0,10,WOODCOT,,,,5.0,,,,,,1005.7,,,,15.6,,,,,,,,,,,,,,,,,,,,,437,47,248,148,5,0,,,,,,,,2.0,F1FF2F,17AAA11AAAAAAA,,,,CZ3SG4,3,0,0,2,1,"(77, -35)",3,3.2,"HAZY,,,,,,,,"
1587,1795,9,17.0,7.0,-34.85,77.95,1,3,0.0,5,,,3.0,10,WOODCOT,,,,5.0,,,,,,1005.7,,,,15.6,,,,,,,,,,,,,,,,,,,,,437,47,248,148,5,0,,,,,,,,2.0,F1FF2F,17AAA11AAAAAAA,,,,CZ3SG5,3,0,0,2,1,"(77, -35)",3,3.2,"HAZY,,,,,,,,"
1595,1795,9,18.0,7.0,-34.0,80.47,1,3,0.0,5,,,3.0,10,WOODCOT,,,,5.0,,,,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,438,40,248,148,5,0,,,,,,,,2.0,F1FF6F,17AAA11AAAAAAA,,,,CZ3SGJ,3,0,0,2,1,"(80, -34)",3,3.2,"HAZY,FAIR,,,,,,,,"
1596,1795,9,18.0,7.0,-34.0,80.47,1,3,0.0,5,,,3.0,10,WOODCOT,,,,,,,,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,438,40,248,148,5,0,,,,,,,,2.0,F1FF6F,17AAA11AAAAAAA,,,,CZ3SGK,3,0,0,2,1,"(80, -34)",3,3.2,"FAIR,FINE,,,,,,,,"
1597,1795,9,18.0,7.0,-34.03,81.85,1,3,0.0,5,,,3.0,10,EARL OXFD,,,,,,,,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,438,41,248,148,5,0,,,,,,,,2.0,F3FF6F,17AAA61AAAAAAA,,,,CZ3SGL,3,0,0,2,1,"(81, -35)",3,3.2,"FAIR,,,,,,,,"
1605,1795,9,19.0,7.0,-32.22,80.67,1,3,0.0,5,,,3.0,10,WOODCOT,,,,5.0,,,,,,1005.5,,,,15.0,,,,,,,,,,,,,,,,,,,,,438,20,248,148,5,0,,,,,,,,2.0,F1614F,11AAA11AAAAAAA,,,,CZ3SGZ,3,0,0,2,1,"(80, -33)",3,3.2,"RAIN,FOGGY,CLOUDY,,,,,,,,"
