ID,Location Name,Latitude,Longitude,Date,Rainfall (mm),Avg Rainfall (mm),Rainfall (% anomaly)
1,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1883-07-01,0.0,0.23913,0.0
2,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1883-08-01,0.0,2.42553,0.0
3,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1883-09-01,0.0,8.91111,0.0
4,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1883-10-01,64.0,78.907,81.11
5,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1883-11-01,176.0,203.844,86.34
6,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1883-12-01,100.0,172.391,58.01
7,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-01-01,114.0,118.791,95.97
8,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-02-01,124.0,118.738,104.43
9,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-03-01,120.0,173.119,69.32
10,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-04-01,194.0,251.907,77.01
11,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-05-01,23.0,119.386,19.27
12,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-06-01,17.0,1.68889,1006.58
13,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-07-01,0.0,0.23913,0.0
14,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-08-01,0.0,2.42553,0.0
15,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-09-01,0.0,8.91111,0.0
16,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-10-01,20.0,78.907,25.35
17,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-11-01,212.0,203.844,104.0
18,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1884-12-01,54.0,172.391,31.32
19,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1885-01-01,3.0,118.791,2.53
20,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1885-02-01,81.0,118.738,68.22
21,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1885-03-01,255.0,173.119,147.3
22,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1885-04-01,296.0,251.907,117.5
23,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1885-05-01,42.0,119.386,35.18
24,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1885-06-01,0.0,1.68889,0.0
25,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1885-07-01,0.0,0.23913,0.0
26,SAO SALVADOR ANGOLA (ANGOLA),-6.30,14.70,1885-08-01,0.0,2.42553,0.0
27,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-01-01,10.0,22.0554,45.34
28,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-02-01,27.6,37.0123,74.57
29,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-03-01,187.2,91.8481,203.81
30,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-04-01,263.8,127.534,206.85
31,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-05-01,36.0,12.5509,286.83
32,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-06-01,0.0,0.142593,0.0
33,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-07-01,0.0,0.0583333,0.0
34,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-08-01,0.4,0.700943,57.07
35,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-09-01,0.9,1.98857,45.26
36,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-10-01,0.0,6.05429,0.0
37,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-11-01,4.6,32.7065,14.06
38,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1883-12-01,14.8,20.3194,72.84
39,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-01-01,61.9,22.0554,280.66
40,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-02-01,10.1,37.0123,27.29
41,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-03-01,4.7,91.8481,5.12
42,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-04-01,60.5,127.534,47.44
43,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-05-01,0.4,12.5509,3.19
44,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-06-01,0.0,0.142593,0.0
45,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-07-01,0.0,0.0583333,0.0
46,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-08-01,0.0,0.700943,0.0
47,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-09-01,0.2,1.98857,10.06
48,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-10-01,0.0,6.05429,0.0
49,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-11-01,5.7,32.7065,17.43
50,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1884-12-01,0.0,20.3194,0.0
51,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-01-01,4.6,22.0554,20.86
52,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-02-01,70.8,37.0123,191.29
53,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-03-01,106.4,91.8481,115.84
54,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-04-01,347.0,127.534,272.08
55,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-05-01,0.0,12.5509,0.0
56,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-06-01,0.0,0.142593,0.0
57,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-07-01,0.0,0.0583333,0.0
58,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-08-01,0.0,0.700943,0.0
59,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-09-01,0.0,1.98857,0.0
60,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-10-01,6.1,6.05429,100.76
61,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-11-01,1.6,32.7065,4.89
62,LUANDA ANGOLA (ANGOLA),-8.80,13.20,1885-12-01,1.4,20.3194,6.89
63,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-01-01,60.0,51.5733,116.34
64,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-02-01,49.0,27.4917,178.24
65,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-03-01,0.0,12.8294,0.0
66,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-04-01,0.0,3.58083,0.0
67,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-05-01,0.0,1.27917,0.0
68,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-06-01,0.0,0.00833333,0.0
69,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-07-01,0.0,0.0166667,0.0
70,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-08-01,0.0,0.198333,0.0
71,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-09-01,5.0,0.616102,811.55
72,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-10-01,17.0,6.90672,246.14
73,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-11-01,94.0,33.3942,281.49
74,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1883-12-01,15.0,55.8758,26.85
75,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-01-01,183.0,51.5733,354.83
76,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-02-01,48.0,27.4917,174.6
77,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-03-01,0.0,12.8294,0.0
78,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-04-01,0.0,3.58083,0.0
79,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-05-01,1.0,1.27917,78.18
80,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-06-01,0.0,0.00833333,0.0
81,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-07-01,0.0,0.0166667,0.0
82,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-08-01,0.0,0.198333,0.0
83,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-09-01,2.0,0.616102,324.62
84,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-10-01,7.0,6.90672,101.35
85,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-11-01,28.0,33.3942,83.85
86,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1884-12-01,34.0,55.8758,60.85
87,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-01-01,106.0,51.5733,205.53
88,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-02-01,10.0,27.4917,36.37
89,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-03-01,6.0,12.8294,46.77
90,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-04-01,11.0,3.58083,307.19
91,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-05-01,0.0,1.27917,0.0
92,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-06-01,0.0,0.00833333,0.0
93,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-07-01,0.0,0.0166667,0.0
94,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-08-01,0.0,0.198333,0.0
95,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-09-01,13.0,0.616102,2110.04
96,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-10-01,0.0,6.90672,0.0
97,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-11-01,30.0,33.3942,89.84
98,KOM EL NADURA EGYPT (EGYPT),31.30,30.00,1885-12-01,56.0,55.8758,100.22
99,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-01-01,74.0,67.3837,109.82
100,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-02-01,35.0,38.1951,91.63
101,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-03-01,17.0,24.6984,68.83
102,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-04-01,4.0,11.9976,33.34
103,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-05-01,2.0,4.624,43.25
104,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-06-01,0.0,1.2128,0.0
105,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-07-01,0.0,0.372656,0.0
106,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-08-01,0.0,0.29918,0.0
107,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-09-01,11.0,9.1918,119.67
108,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-10-01,48.0,35.9488,133.52
109,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-11-01,86.0,58.3063,147.5
110,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1883-12-01,80.0,79.2386,100.96
111,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-01-01,94.0,67.3837,139.5
112,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-02-01,8.0,38.1951,20.95
113,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-03-01,16.0,24.6984,64.78
114,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-04-01,0.0,11.9976,0.0
115,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-05-01,7.0,4.624,151.38
116,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-06-01,15.0,1.2128,1236.81
117,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-07-01,5.0,0.372656,1341.72
118,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-08-01,4.0,0.29918,1336.99
119,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-09-01,0.0,9.1918,0.0
120,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-10-01,79.0,35.9488,219.76
121,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-11-01,201.0,58.3063,344.73
122,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1884-12-01,128.0,79.2386,161.54
123,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-01-01,77.0,67.3837,114.27
124,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-02-01,16.0,38.1951,41.89
125,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-03-01,25.0,24.6984,101.22
126,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-04-01,4.0,11.9976,33.34
127,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-05-01,0.0,4.624,0.0
128,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-06-01,0.0,1.2128,0.0
129,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-07-01,0.0,0.372656,0.0
130,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-08-01,0.0,0.29918,0.0
131,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-09-01,2.0,9.1918,21.76
132,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-10-01,24.0,35.9488,66.76
133,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-11-01,53.0,58.3063,90.9
134,TRIPOLI INTL. AP LIBYA (LIBYA),32.70,13.20,1885-12-01,82.0,79.2386,103.48
135,BENGHAZI LIBYA (LIBYA),32.08,20.27,1883-01-01,57.0,65.099,87.56
