ID,Location Name,Latitude,Longitude,Date,Annual Rainfall (mm),Annual Avg Rainfall (mm)
1,LUANDA ANGOLA (ANGOLA),-8.80N,13.20E,1882-9-01,550.1,352.9713
2,LUANDA ANGOLA (ANGOLA),-8.80N,13.20E,1883-9-01,157.9,352.9713
3,LUANDA ANGOLA (ANGOLA),-8.80N,13.20E,1884-9-01,534.7,352.9713
4,KOM EL NADURA EGYPT (EGYPT),31.30N,30.00E,1882-9-01,194.0,193.7706
5,KOM EL NADURA EGYPT (EGYPT),31.30N,30.00E,1883-9-01,363.0,193.7706
6,KOM EL NADURA EGYPT (EGYPT),31.30N,30.00E,1884-9-01,204.0,193.7706
7,TRIPOLI INTL. AP LIBYA (LIBYA),32.70N,13.20E,1882-9-01,293.0,331.4689
8,TRIPOLI INTL. AP LIBYA (LIBYA),32.70N,13.20E,1883-9-01,374.0,331.4689
9,TRIPOLI INTL. AP LIBYA (LIBYA),32.70N,13.20E,1884-9-01,530.0,331.4689
10,BENGHAZI LIBYA (LIBYA),32.08N,20.27E,1882-9-01,234.0,261.8929
11,BENGHAZI LIBYA (LIBYA),32.08N,20.27E,1883-9-01,306.0,261.8929
12,BENGHAZI LIBYA (LIBYA),32.08N,20.27E,1884-9-01,234.0,261.8929
13,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.80N,47.50E,1882-9-01,1359.0,1354.1029
14,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.80N,47.50E,1883-9-01,1558.0,1354.1029
15,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.80N,47.50E,1884-9-01,1648.0,1354.1029
16,OBSERVATORY (MAURITIUS),-20.10N,57.50E,1882-9-01,1228.4,1362.4749
17,OBSERVATORY (MAURITIUS),-20.10N,57.50E,1883-9-01,1420.4,1362.4749
18,OBSERVATORY (MAURITIUS),-20.10N,57.50E,1884-9-01,1028.9,1362.4749
20,OMARURU NAMIBIA (NAMIBIA),-21.40N,15.90E,1883-9-01,338.0,284.2039
21,OMARURU NAMIBIA (NAMIBIA),-21.40N,15.90E,1884-9-01,420.0,284.2039
22,KROONSTAD. SOUTH AFRI(SOUTH AFRICA),-27.67N,27.25E,1882-9-01,439.0,601.7452
23,KROONSTAD. SOUTH AFRI(SOUTH AFRICA),-27.67N,27.25E,1883-9-01,428.0,601.7452
24,KROONSTAD. SOUTH AFRI(SOUTH AFRICA),-27.67N,27.25E,1884-9-01,549.0,601.7452
25,PORT NOLLOTH (VRT) SOUTH AFRI(SOUTH AFRICA),-29.23N,16.87E,1882-9-01,63.1,63.9451
26,PORT NOLLOTH (VRT) SOUTH AFRI(SOUTH AFRICA),-29.23N,16.87E,1883-9-01,28.2,63.9451
27,PORT NOLLOTH (VRT) SOUTH AFRI(SOUTH AFRICA),-29.23N,16.87E,1884-9-01,47.3,63.9451
28,PELLA SOUTH AFRI(SOUTH AFRICA),-29.00N,19.10E,1882-9-01,52.0,73.3276
29,PELLA SOUTH AFRI(SOUTH AFRICA),-29.00N,19.10E,1883-9-01,25.0,73.3276
30,PELLA SOUTH AFRI(SOUTH AFRICA),-29.00N,19.10E,1884-9-01,50.0,73.3276
31,KENHARDT (POL) SOUTH AFRI(SOUTH AFRICA),-29.35N,21.15E,1882-9-01,89.2,137.785
32,KENHARDT (POL) SOUTH AFRI(SOUTH AFRICA),-29.35N,21.15E,1883-9-01,98.6,137.785
33,KENHARDT (POL) SOUTH AFRI(SOUTH AFRICA),-29.35N,21.15E,1884-9-01,238.0,137.785
