,ID,Location Name,Latitude,Longitude,Date,Rainfall (mm),Avg Rainfall (mm),Rainfall (% anomaly)
0,1,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1883-9-01,240.0,291.66211,82.29
1,2,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1883-12-01,338.0,409.92,82.46
2,3,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1884-3-01,337.0,544.412,61.9
3,4,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1884-6-01,17.0,4.35355,390.49
4,5,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1884-9-01,232.0,291.66211,79.54
5,6,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1884-12-01,138.0,409.92,33.67
6,7,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1885-3-01,593.0,544.412,108.92
7,8,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1885-6-01,0.0,4.35355,0.0
8,9,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1883-3-01,487.0,231.93300000000002,209.97
9,10,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1883-6-01,0.4,0.90186,44.35
10,11,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1883-9-01,5.5,40.749359999999996,13.5
11,12,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1883-12-01,86.8,79.3871,109.34
12,13,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1884-3-01,65.60000000000001,231.93300000000002,28.28
13,14,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1884-6-01,0.0,0.90186,0.0
14,15,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1884-9-01,5.9,40.749359999999996,14.48
15,16,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1884-12-01,75.39999999999999,79.3871,94.98
16,17,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1885-3-01,453.4,231.93300000000002,195.49
17,18,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1885-6-01,0.0,0.90186,0.0
18,19,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1885-9-01,7.699999999999999,40.749359999999996,18.9
19,20,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1883-3-01,0.0,17.6894,0.0
20,21,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1883-6-01,0.0,0.22333,0.0
21,22,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1883-9-01,116.0,40.91702,283.5
22,23,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1883-12-01,246.0,134.9408,182.3
23,24,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1884-3-01,1.0,17.6894,5.65
24,25,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1884-6-01,0.0,0.22333,0.0
25,26,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1884-9-01,37.0,40.91702,90.43
26,27,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1884-12-01,150.0,134.9408,111.16
27,28,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1885-3-01,17.0,17.6894,96.1
28,29,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1885-6-01,0.0,0.22333,0.0
29,30,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1885-9-01,43.0,40.91702,105.09
30,31,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1883-3-01,23.0,41.32,55.66
31,32,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1883-6-01,0.0,1.88464,0.0
32,33,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1883-9-01,145.0,103.4469,140.17
33,34,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1883-12-01,182.0,184.8174,98.48
34,35,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1884-3-01,23.0,41.32,55.66
35,36,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1884-6-01,24.0,1.88464,1273.45
36,37,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1884-9-01,280.0,103.4469,270.67
37,38,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1884-12-01,221.0,184.8174,119.58
38,39,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1885-3-01,29.0,41.32,70.18
39,40,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1885-6-01,0.0,1.88464,0.0
40,41,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1885-9-01,79.0,103.4469,76.37
41,42,BENGHAZI LIBYA (LIBYA),32.08,20.27,1883-3-01,25.0,30.62285,81.64
42,43,BENGHAZI LIBYA (LIBYA),32.08,20.27,1883-6-01,0.0,0.83946,0.0
43,44,BENGHAZI LIBYA (LIBYA),32.08,20.27,1883-9-01,118.0,61.54427,191.73
