,ID,Location Name,Latitude,Longitude,Date,Rainfall (mm),Avg Rainfall (mm),Rainfall (% anomaly)
0,1,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1884-6-01,17.0,4.35355,390.49
1,2,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1885-6-01,0.0,4.35355,0.0
2,3,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1883-6-01,0.4,0.90186,44.35
3,4,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1883-9-01,5.5,40.749359999999996,13.5
4,5,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1883-12-01,86.8,79.3871,109.34
5,6,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1884-6-01,0.0,0.90186,0.0
6,7,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1884-9-01,5.9,40.749359999999996,14.48
7,8,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1884-12-01,75.39999999999999,79.3871,94.98
8,9,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1885-6-01,0.0,0.90186,0.0
9,10,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1885-9-01,7.699999999999999,40.749359999999996,18.9
10,11,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1883-3-01,0.0,17.6894,0.0
11,12,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1883-6-01,0.0,0.22333,0.0
12,13,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1883-9-01,116.0,40.91702,283.5
13,14,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1884-3-01,1.0,17.6894,5.65
14,15,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1884-6-01,0.0,0.22333,0.0
15,16,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1884-9-01,37.0,40.91702,90.43
16,17,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1885-3-01,17.0,17.6894,96.1
17,18,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1885-6-01,0.0,0.22333,0.0
18,19,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1885-9-01,43.0,40.91702,105.09
19,20,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1883-3-01,23.0,41.32,55.66
20,21,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1883-6-01,0.0,1.88464,0.0
21,22,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1884-3-01,23.0,41.32,55.66
22,23,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1884-6-01,24.0,1.88464,1273.45
23,24,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1885-3-01,29.0,41.32,70.18
24,25,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1885-6-01,0.0,1.88464,0.0
25,26,BENGHAZI LIBYA (LIBYA),32.08,20.27,1883-3-01,25.0,30.62285,81.64
26,27,BENGHAZI LIBYA (LIBYA),32.08,20.27,1883-6-01,0.0,0.83946,0.0
27,28,BENGHAZI LIBYA (LIBYA),32.08,20.27,1883-9-01,118.0,61.54427,191.73
28,29,BENGHAZI LIBYA (LIBYA),32.08,20.27,1884-3-01,4.0,30.62285,13.06
29,30,BENGHAZI LIBYA (LIBYA),32.08,20.27,1884-6-01,0.0,0.83946,0.0
30,31,BENGHAZI LIBYA (LIBYA),32.08,20.27,1884-9-01,73.0,61.54427,118.61
31,32,BENGHAZI LIBYA (LIBYA),32.08,20.27,1885-3-01,18.0,30.62285,58.78
32,33,BENGHAZI LIBYA (LIBYA),32.08,20.27,1885-6-01,0.0,0.83946,0.0
33,34,BENGHAZI LIBYA (LIBYA),32.08,20.27,1885-9-01,52.0,61.54427,84.49
34,35,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1883-6-01,40.0,22.31145,179.28
35,36,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1884-6-01,5.0,22.31145,22.41
36,37,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1885-6-01,18.0,22.31145,80.68
37,38,OMARURU NAMIBIA (NAMIBIA),-21.4,15.9,1883-3-01,42.0,85.9833,48.85
38,39,OMARURU NAMIBIA (NAMIBIA),-21.4,15.9,1883-6-01,0.0,1.35178,0.0
