,ID,Location Name,Latitude,Longitude,Date,Rainfall (mm),Avg Rainfall (mm),Rainfall (% anomaly)
0,1,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1883-9-01,240.0,291.66211,82.29
1,2,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1883-12-01,338.0,409.92,82.46
2,3,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1884-3-01,337.0,544.412,61.9
3,4,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1884-9-01,232.0,291.66211,79.54
4,5,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1884-12-01,138.0,409.92,33.67
5,6,SAO SALVADOR ANGOLA (ANGOLA),-6.3,14.7,1885-3-01,593.0,544.412,108.92
6,7,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1883-3-01,487.0,231.93300000000002,209.97
7,8,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1884-3-01,65.60000000000001,231.93300000000002,28.28
8,9,LUANDA ANGOLA (ANGOLA),-8.8,13.2,1885-3-01,453.4,231.93300000000002,195.49
9,10,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1883-12-01,246.0,134.9408,182.3
10,11,KOM EL NADURA EGYPT (EGYPT),31.3,30.0,1884-12-01,150.0,134.9408,111.16
11,12,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1883-9-01,145.0,103.4469,140.17
12,13,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1883-12-01,182.0,184.8174,98.48
13,14,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1884-9-01,280.0,103.4469,270.67
14,15,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1884-12-01,221.0,184.8174,119.58
15,16,TRIPOLI INTL. AP LIBYA (LIBYA),32.7,13.2,1885-9-01,79.0,103.4469,76.37
16,17,BENGHAZI LIBYA (LIBYA),32.08,20.27,1883-12-01,184.0,168.8863,108.95
17,18,BENGHAZI LIBYA (LIBYA),32.08,20.27,1884-12-01,143.0,168.8863,84.67
18,19,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1883-3-01,293.0,262.6148,111.57
19,20,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1883-9-01,316.0,216.39963,146.03
20,21,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1883-12-01,852.0,852.777,99.91
21,22,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1884-3-01,385.0,262.6148,146.6
22,23,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1884-9-01,378.0,216.39963,174.68
23,24,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1884-12-01,1149.0,852.777,134.74
24,25,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1885-3-01,103.0,262.6148,39.22
25,26,ANTANANARIVO/IVATO MADAGASCAR(MADAGASCAR),-18.8,47.5,1885-9-01,210.0,216.39963,97.04
26,27,OBSERVATORY (MAURITIUS),-20.1,57.5,1883-3-01,595.9,477.938,124.68
27,28,OBSERVATORY (MAURITIUS),-20.1,57.5,1883-6-01,102.1,193.36239999999998,52.8
28,29,OBSERVATORY (MAURITIUS),-20.1,57.5,1883-9-01,111.0,133.2385,83.31
29,30,OBSERVATORY (MAURITIUS),-20.1,57.5,1883-12-01,342.4,557.936,61.37
30,31,OBSERVATORY (MAURITIUS),-20.1,57.5,1884-3-01,649.8,477.938,135.96
31,32,OBSERVATORY (MAURITIUS),-20.1,57.5,1884-6-01,317.2,193.36239999999998,164.04
32,33,OBSERVATORY (MAURITIUS),-20.1,57.5,1884-9-01,158.70000000000002,133.2385,119.11
33,34,OBSERVATORY (MAURITIUS),-20.1,57.5,1884-12-01,264.7,557.936,47.44
34,35,OBSERVATORY (MAURITIUS),-20.1,57.5,1885-3-01,369.3,477.938,77.27
35,36,OBSERVATORY (MAURITIUS),-20.1,57.5,1885-6-01,236.2,193.36239999999998,122.15
36,37,OBSERVATORY (MAURITIUS),-20.1,57.5,1885-9-01,171.5,133.2385,128.72
37,38,OMARURU NAMIBIA (NAMIBIA),-21.4,15.9,1883-12-01,195.0,172.3106,113.17
38,39,OMARURU NAMIBIA (NAMIBIA),-21.4,15.9,1884-12-01,218.0,172.3106,126.52
39,40,REHOBOTH II NAMIBIA (NAMIBIA),-23.3,17.1,1883-12-01,28.0,129.39030000000002,21.64
40,41,REHOBOTH II NAMIBIA (NAMIBIA),-23.3,17.1,1884-12-01,181.0,129.39030000000002,139.89
41,42,KROONSTAD. SOUTH AFRI(SOUTH AFRICA),-27.67,27.25,1883-3-01,71.0,158.9916,44.66
