YR,MO,DY,HR,LAT,LON,II,ID,C1,DI,D,WI,W,SLP,AT,SST,WD,WP,WH,SD,SP,SH,DCK,SID,PT,UID,RN1,RN2,RN3,RSA,IRF
1815,1,27,7.00,-0.50,78.45,10,LORD KEIT,,,11,5,2.6,1008.9,26.7,,,,,,,,248,148,5,CZ6OWD,3,1,0,2,1
1815,1,28,7.00,-0.92,78.17,10,LORD KEIT,,,,5,,1008.6,28.3,,,,,,,,248,148,5,CZ6OWT,3,1,0,2,1
1815,1,29,7.00,-1.13,77.77,10,LORD KEIT,,,,5,,1008.6,28.3,,,,,,,,248,148,5,CZ6OX9,3,1,0,2,1
1815,1,30,7.00,-1.62,77.53,10,LORD KEIT,,,348,5,1.0,1005.1,28.9,,,,,,,,248,148,5,CZ6OXP,3,1,0,2,1
1815,1,31,7.00,-0.08,79.45,10,INDUS,,,,5,,,28.6,,,,,,,,248,148,5,CZ6OY3,3,1,0,2,1
1815,1,31,7.00,-0.15,79.63,10,1807,UK,,,,,,30.0,,,,,,,,730,133,5,004GOC,3,1,0,2,1
1815,1,31,7.00,-0.15,79.63,10,TIGRIS 2,,,,,,,30.0,,,,,,,,248,148,5,CZ6OY4,3,1,0,2,1
1815,1,31,7.00,-2.22,77.47,10,LORD KEIT,,,337,5,1.0,1005.2,28.3,,,,,,,,248,148,5,CZ6OY5,3,1,0,2,1
1815,2,1,7.00,-1.28,79.63,10,INDUS,,,,,,,28.9,,,,,,,,248,148,5,CZ6OYJ,3,1,0,2,1
1815,2,1,7.00,-1.33,79.67,10,1807,UK,,,,,,28.3,,,,,,,,730,133,5,004GOF,3,1,0,2,1
1815,2,1,7.00,-1.33,79.67,10,TIGRIS 2,,,,,,,28.3,,,,,,,,248,148,5,CZ6OYK,3,1,0,2,1
1815,2,1,7.00,-2.63,77.50,10,LORD KEIT,,,,,,1008.6,28.3,,,,,,,,248,148,5,CZ6OYL,3,1,0,2,1
1815,2,2,7.00,-2.30,80.43,10,INDUS,,,,,,,26.7,,,,,,,,248,148,5,CZ6OYZ,3,1,0,2,1
1815,2,2,7.00,-2.32,80.33,10,1807,UK,,,,,,28.3,,,,,,,,730,133,5,004GOI,3,1,0,2,1
1815,2,2,7.00,-2.32,80.33,10,TIGRIS 2,,,,,,,28.3,,,,,,,,248,148,5,CZ6OZ0,3,1,0,2,1
1815,2,2,7.00,-3.88,77.68,10,LORD KEIT,,,359,5,2.6,1008.6,28.3,,,,,,,,248,148,5,CZ6OZ1,3,1,0,2,1
1815,2,3,7.00,-3.55,79.82,10,INDUS,,,,,,,26.7,,,,,,,,248,148,5,CZ6OZE,3,1,0,2,1
1815,2,3,7.00,-3.62,79.93,10,1807,UK,,293,5,2.6,,,,,,,,,,730,133,5,004GOL,3,1,0,2,1
1815,2,3,7.00,-3.62,79.93,10,TIGRIS 2,,,293,5,2.6,,,,,,,,,,248,148,5,CZ6OZF,3,1,0,2,1
1815,2,3,7.00,-4.87,78.07,10,LORD KEIT,,,,,,1008.6,28.3,,,,,,,,248,148,5,CZ6OZG,3,1,0,2,1
1815,2,4,7.00,-4.08,80.12,10,1807,UK,,349,5,1.0,,31.7,,,,,,,,730,133,5,004GOO,3,1,0,2,1
1815,2,4,7.00,-4.08,80.12,10,TIGRIS 2,,,,5,,,31.7,,,,,,,,248,148,5,CZ6OZT,3,1,0,2,1
1815,2,4,7.00,-4.10,80.10,10,INDUS,,,,5,,,28.9,,,,,,,,248,148,5,CZ6OZU,3,1,0,2,1
1815,2,4,7.00,-5.63,78.30,10,LORD KEIT,,,145,5,1.0,1008.6,28.3,,,,,,,,248,148,5,CZ6OZV,3,1,0,2,1
1815,2,5,7.00,-4.82,80.23,10,INDUS,,,,,,,27.8,,,,,,,,248,148,5,CZ6P09,3,1,0,2,1
1815,2,5,7.00,-6.63,78.35,10,LORD KEIT,,,,,,1004.0,26.1,,,,,,,,248,148,5,CZ6P0A,3,1,0,2,1
