PAGES 2k ID,ocean 2k ID,preceded by,superseded by,archive type,reference 1 doi,reference 2 doi,original data URL,lat (°),long (°),elevation (m),site name,Country/Ocean,min year,max year,resolution (yr),proxy,variable name,units,climate variable detail,seasonality,direction,QC comments,QC certification,link to data at WDC-paleo
Asi_038,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/12601,30.23,100.27,2150,CHIN020,China,1306,2007,1,TRW,trsgi,NA,air@surface,annual,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN020.Li.2010.txt
Asi_039,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/12602,28.98,99.93,2150,CHIN021,China,1380,2007,1,TRW,trsgi,NA,air@surface,annual,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN021.Li.2010.txt
Asi_040,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/12599,29.28,100.08,2150,CHIN018,China,1540,2006,1,TRW,trsgi,NA,air@surface,annual,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN018.Li.2010.txt
Asi_041,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/12600,29.15,99.93,2150,CHIN019,China,1509,2006,1,TRW,trsgi,NA,air@surface,annual,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN019.Li.2010.txt
Asi_042,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/12608,27.33,99.3,1750,CHIN027,China,1348,2007,1,TRW,trsgi,NA,air@surface,annual,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-WXIYUN.Wright.2010.txt
Asi_043,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,34.75,100.82,1750,DEZQIN,China,1287,2004,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-DEZQIN.PAGES2k.2013.txt
Asi_044,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,34.73,100.8,1750,GOUQIN,China,1346,2004,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-GOUQIN.PAGES2k.2013.txt
Asi_045,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,34.73,100.78,1750,HEBQIN,China,1475,2004,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HEBQIN.PAGES2k.2013.txt
Asi_046,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,34.72,100.72,1750,LAJQIN,China,1446,2004,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-LAJQIN.PAGES2k.2013.txt
Asi_047,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,37.93,101.53,1750,GHEGAN,China,1288,2000,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-GHEGAN.PAGES2k.2013.txt
Asi_048,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/5996,36.3,98.08,1750,CHIN006,China,159,1993,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN006.Sheppard.2013.txt
Asi_049,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/5997,37,98.08,100,CHIN005,China,840,1993,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN005.Sheppard.2013.txt
Asi_050,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,36.65,98.08,100,DUSHJP,China,840,1993,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-DUSHJP.PAGES2k.2013.txt
Asi_051,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,35.07,100.35,700,MQAXJP,China,1082,2001,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-MQAXJP.PAGES2k.2013.txt
